lonlat,date,lon,lat,sif,sif_sigma,year,doy,month,dayssinceapril1,group
x-122.7y39.5,2019-12-24,-122.699996948242,39.5000038146973,0.0926173031330109,0.307797014713287,2019,358,12,632,burned
x-122.7y39.5,2020-01-01,-122.699996948242,39.5000038146973,0.171929001808167,0.330060005187988,2020,1,1,640,burned
x-122.7y39.5,2020-01-09,-122.699996948242,39.5000038146973,0.0915957987308502,0.331131011247635,2020,9,1,648,burned
x-122.7y39.5,2020-01-17,-122.699996948242,39.5000038146973,-0.142710998654366,0.370418012142181,2020,17,1,656,burned
x-122.7y39.5,2020-01-25,-122.699996948242,39.5000038146973,0.164220005273819,0.334132999181747,2020,25,1,664,burned
x-122.7y39.5,2020-02-02,-122.699996948242,39.5000038146973,0.155243992805481,0.344902992248535,2020,33,2,672,burned
x-122.7y39.5,2020-02-10,-122.699996948242,39.5000038146973,0.223257005214691,0.335379004478455,2020,41,2,680,burned
x-122.7y39.5,2020-02-18,-122.699996948242,39.5000038146973,0.249338999390602,0.346776992082596,2020,49,2,688,burned
x-122.7y39.5,2020-02-26,-122.699996948242,39.5000038146973,0.232436001300812,0.357569992542267,2020,57,2,696,burned
x-122.7y39.5,2020-03-05,-122.699996948242,39.5000038146973,0.360594004392624,0.396154999732971,2020,65,3,704,burned
x-122.7y39.5,2020-03-13,-122.699996948242,39.5000038146973,0.107536002993584,0.423052996397018,2020,73,3,712,burned
x-122.7y39.5,2020-03-21,-122.699996948242,39.5000038146973,0.271672993898392,0.428597986698151,2020,81,3,720,burned
x-122.7y39.5,2020-03-29,-122.699996948242,39.5000038146973,0.309096992015839,0.435757011175156,2020,89,3,728,burned
x-122.7y39.5,2020-04-06,-122.699996948242,39.5000038146973,0.11676099896431,0.419485986232758,2020,97,4,736,burned
x-122.7y39.5,2020-04-14,-122.699996948242,39.5000038146973,0.313394010066986,0.420203000307083,2020,105,4,744,burned
